Designator,Footprint,Quantity,Value,LCSC Part #
"BOOT, RESET",SW_SPST_SKQG_WithoutStem,2,SKQGABE010,
"C1, C2, C3, C4, C5, C6, C8",0402,7,100nF,
"C10, C9",0603,2,1uF,
C11,0402,1,4.7uF,
C7,0402,1,10nF,
D1,SOT-143,1,PRTR5V0U2X,
"D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D68, D7, D71, D73, D74, D75, D76, D8, D9",D_SOD-123,68,D_Small_Filled,
F1,1206,1,Polyfuse,
J1,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,Conn_01x04,
R1,0402,1,10k,
R2,0402,1,470R,C25117
SW1,SW_Cherry_MX_PCB_1.00u_valueprint,1,GRAVE,
SW10,SW_Cherry_MX_PCB_1.00u_valueprint,1,9,
SW11,SW_Cherry_MX_PCB_1.00u_valueprint,1,0,
SW12,SW_Cherry_MX_PCB_1.00u_valueprint,1,-,
SW13,SW_Cherry_MX_PCB_1.00u_valueprint,1,+,
SW14,SW_Cherry_MX_PCB_2.00u_valueprint,1,BSPC,
SW15,SW_Cherry_MX_PCB_1.00u_valueprint,1,DEL,
SW16,SW_Cherry_MX_PCB_1.50u_valueprint,1,TAB,
SW17,SW_Cherry_MX_PCB_1.00u_valueprint,1,Q,
SW18,SW_Cherry_MX_PCB_1.00u_valueprint,1,W,
SW19,SW_Cherry_MX_PCB_1.00u_valueprint,1,E,
SW2,SW_Cherry_MX_PCB_1.00u_valueprint,1,1,
SW20,SW_Cherry_MX_PCB_1.00u_valueprint,1,R,
SW21,SW_Cherry_MX_PCB_1.00u_valueprint,1,T,
SW22,SW_Cherry_MX_PCB_1.00u_valueprint,1,Y,
SW23,SW_Cherry_MX_PCB_1.00u_valueprint,1,U,
SW24,SW_Cherry_MX_PCB_1.00u_valueprint,1,I,
SW25,SW_Cherry_MX_PCB_1.00u_valueprint,1,O,
SW26,SW_Cherry_MX_PCB_1.00u_valueprint,1,P,
SW27,SW_Cherry_MX_PCB_1.00u_valueprint,1,[,
SW28,SW_Cherry_MX_PCB_1.00u_valueprint,1,],
SW29,SW_Cherry_MX_PCB_1.00u_valueprint,1,SPLIT_BS,
SW3,SW_Cherry_MX_PCB_1.00u_valueprint,1,2,
SW30,SW_Cherry_MX_PCB_1.00u_valueprint,1,PGUP,
SW31,SW_Cherry_MX_PCB_1.75u_valueprint,1,CAPS,
SW32,SW_Cherry_MX_PCB_1.00u_valueprint,1,A,
SW33,SW_Cherry_MX_PCB_1.00u_valueprint,1,S,
SW34,SW_Cherry_MX_PCB_1.00u_valueprint,1,D,
SW35,SW_Cherry_MX_PCB_1.00u_valueprint,1,F,
SW36,SW_Cherry_MX_PCB_1.00u_valueprint,1,G,
SW37,SW_Cherry_MX_PCB_1.00u_valueprint,1,H,
SW38,SW_Cherry_MX_PCB_1.00u_valueprint,1,J,
SW39,SW_Cherry_MX_PCB_1.00u_valueprint,1,K,
SW4,SW_Cherry_MX_PCB_1.00u_valueprint,1,3,
SW40,SW_Cherry_MX_PCB_1.00u_valueprint,1,L,
SW41,SW_Cherry_MX_PCB_1.00u_valueprint,1,COLON,
SW42,SW_Cherry_MX_PCB_1.00u_valueprint,1,QUOTE,
SW43,SW_Cherry_MX_PCB_1.50u_valueprint,1,BSLS,
SW44,SW_Cherry_MX_PCB_2.25u_valueprint,1,ENTER,
SW45,SW_Cherry_MX_PCB_1.00u_valueprint,1,PGDN,
SW46,SW_Cherry_MX_PCB_2.25u_valueprint,1,LSFT,
SW47,SW_Cherry_MX_PCB_1.00u_valueprint,1,Z,
SW48,SW_Cherry_MX_PCB_1.00u_valueprint,1,X,
SW49,SW_Cherry_MX_PCB_1.00u_valueprint,1,C,
SW5,SW_Cherry_MX_PCB_1.00u_valueprint,1,4,
SW50,SW_Cherry_MX_PCB_1.00u_valueprint,1,V,
SW51,SW_Cherry_MX_PCB_1.00u_valueprint,1,B,
SW52,SW_Cherry_MX_PCB_1.00u_valueprint,1,N,
SW53,SW_Cherry_MX_PCB_1.00u_valueprint,1,M,
SW54,SW_Cherry_MX_PCB_1.00u_valueprint,1,COMMA,
SW55,SW_Cherry_MX_PCB_1.00u_valueprint,1,DOT,
SW56,SW_Cherry_MX_PCB_1.00u_valueprint,1,SLSH,
SW57,SW_Cherry_MX_PCB_1.75u_valueprint,1,RSFT,
SW58,SW_Cherry_MX_PCB_1.00u_valueprint,1,UP,
SW59,SW_Cherry_MX_PCB_1.00u_valueprint,1,END,
SW6,SW_Cherry_MX_PCB_1.00u_valueprint,1,5,
SW60,SW_Cherry_MX_PCB_1.25u_valueprint,1,LCTL,
SW61,SW_Cherry_MX_PCB_1.25u_valueprint,1,LGUI,
SW62,SW_Cherry_MX_PCB_1.25u_valueprint,1,LALT,
SW63,SW_Cherry_MX_PCB_6.25u,1,6.25U SPC,
SW64,SW_Cherry_MX_PCB_1.25u_valueprint,1,RALT,
SW65,SW_Cherry_MX_PCB_1.25u_valueprint,1,RCTL,
SW66,SW_Cherry_MX_PCB_1.00u_valueprint,1,LEFT,
SW67,SW_Cherry_MX_PCB_1.00u_valueprint,1,DOWN,
SW68,SW_Cherry_MX_PCB_1.00u_valueprint,1,RIGHT,
SW69,SW_Cherry_MX_PCB_1.50u_valueprint,1,1.5U LCTL,
SW7,SW_Cherry_MX_PCB_1.00u_valueprint,1,6,
SW70,SW_Cherry_MX_PCB_1.00u_valueprint,1,1U LGUI,
SW71,SW_Cherry_MX_PCB_1.50u_valueprint,1,1.5U LALT,
SW72,SW_Cherry_MX_PCB_7.00u,1,7U SPC,
SW73,SW_Cherry_MX_PCB_1.50u_valueprint,1,1.5U MO1,
SW74,SW_Cherry_MX_PCB_1.00u_valueprint,1,SPLIT_BSLS,
SW75,SW_Cherry_MX_PCB_1.25u_valueprint,1,STEPPED CAPS,
SW8,SW_Cherry_MX_PCB_1.00u_valueprint,1,7,
SW9,SW_Cherry_MX_PCB_1.00u_valueprint,1,8,
U1,LQFP-48_7x7mm_P0.5mm,1,STM32F072C8Tx,
U2,SOT-23-3,1,XC6206P332MR,
